Country Code,Region
ARE,Middle East
ARG,South America
AUS,Ocenia
AUT,Europe
AZE,Asia
BEL,Europe
BGD,Asia
BGR,Europe
BLR,Europe
BRA,South America
CAN,North America
CHE,Europe
CHL,South America
CHN,Asia
COL,South America
CYP,Europe
CZE,Europe
DEU,Europe
DNK,Europe
DZA,Africa
ECU,South America
EGY,Africa
ESP,Europe
EST,Europe
FIN,Europe
FRA,Europe
GBR,Europe
GRC,Europe
HKG,Asia
HRV,Europe
HUN,Europe
IDN,Asia
IND,Asia
IRL,Europe
IRN,Middle East
IRQ,Middle East
ISL,Europe
ISR,Middle East
ITA,Europe
JPN,Asia
KAZ,Asia
KOR,Asia
KWT,Middle East
LKA,Asia
LTU,Europe
LUX,Europe
LVA,Europe
MAR,Africa
MEX,South America
MKD,Europe
MYS,Asia
NLD,Europe
NOR,Europe
NZL,Ocenia
OMN,Middle East
PAK,Asia
PER,South America
PHL,Asia
POL,Europe
PRT,Europe
QAT,Middle East
ROU,Europe
RUS,Europe
SAU,Middle East
SGP,Asia
SVK,Europe
SVN,Europe
SWE,Europe
THA,Asia
TKM,Asia
TTO,South America
TUR,Asia
UKR,Europe
USA,North America
UZB,Asia
VEN,South America
VNM,Asia
ZAF,Africa
